CLA	OCE	OCE_Inverted	PRCRef	PRCRef_Inverted	DTR	DTR_Inverted
chr1	chr1	No	chr1	Yes	CM045445.1	Yes
chr2	chr4	No	chr3	Yes	CM045447.1	No
chr3	chr2	No	chr2	Yes	CM045446.1	No
chr4	chr3	No	chr4	No	CM045448.1	No
chr5	chr5	No	chr6	No	CM045450.1	Yes
chr6	chr6	No	chr5	No	CM045449.1	No
chr7	chr9	No	chr7	No	CM045451.1	No
chr8	chr8	Yes	chr8	No	CM045452.1	Yes
chr9	chr7	No	chr9	No	CM045453.1	No
chr10	chr11	Yes	chr12	No	CM045456.1	Yes
chr11	chr10	Yes	chr10	No	CM045454.1	No
chr12	chr13	Yes	chr13	Yes	CM045457.1	No
chr13	chr12	Yes	chr11	No	CM045455.1	No
chr14	chr15	Yes	chr17	Yes	CM045461.1	No
chr15	chr14	Yes	chr15	Yes	CM045459.1	No
chr16	chr16	Yes	chr20	Yes	CM045464.1	Yes
chr17	chr19	Yes	chr14	No	CM045458.1	No
chr18	chr20	No	chr18	No	CM045462.1	No
chr19	chr17	No	chr16	No	CM045460.1	Yes
chr20	chr18	No	chr19	No	CM045463.1	Yes
chr21	chr21	Yes	chr21	No	CM045465.1	No
chr22	chr22	No	chr22	Yes	CM045466.1	Yes
chr23	chr23	No	chr23	No	CM045467.1	No
chr24	chr24	Yes	chr24	No	CM045468.1	Yes
